Main Features,Resolution,Model,Specification,"≥200pcs
USD/SET", UNIT COST IN NAIRA , UNIT COST OF SHIPMENT , TOTAL COST , RESELLER MARK-UP15% , TSI MARK-UP-25 , END-USER MARK-UP-35% , 19% RS , 21% RS , 23% RS , SUNDAY ONU PRICE-SILVER , SILVER , BRONZE , PLATINUM , RESELLER PRICE , TSI PRICE ,7.40%,  EU PRICE 
"2MP HD Smart Tracking Web Camera
AI Humanoid autotracing
355° automatic tracking rotation
1080P HD, WDR image processing, dual MIC pickup, audio noise reduction processing;
Super compatibility, no driver installation",2.0MP ,JVS-HD820U,"★Horizontal Angle:350°
★Vertical Angle: 120°
★Video Encoding Foramt: MJPEG/H.264
★Package Contents:Webcam, User Manual, Tripod ( Optional)",25.00," 18,500.00 "," 3,145.00 "," 21,645.00 "," 3,246.75 "," 5,411.25 "," 7,575.75 "," 3,463.20 "," 3,030.30 "," 2,597.40 "," 25,108.20 "," 26,883.09 "," 25,714.26 "," 24,837.64 "," 24,891.75 "," 27,056.25 "," 27,058.41 "," 29,220.75 "
4 CH,1HDD,JVS-ND6604-DZ,"4ch NVR 1SATA
IP Camera Input: 4CH 720P/960P/1080P/3MP/4MP/5MP",21.00," 15,540.00 "," 2,641.80 "," 18,181.80 "," 2,727.27 "," 4,545.45 "," 6,363.63 "," 2,909.09 "," 2,545.45 "," 2,181.82 "," 21,090.89 "," 22,581.80 "," 21,599.98 "," 20,863.62 "," 20,909.07 "," 22,727.25 "," 22,729.07 "," 24,545.43 "
8 CH,1HDD,JVS-ND6608-DZ,"8ch NVR 1SATA
IP Camera Input: 8CH 720P/960P/1080P/3MP/4MP/5MP",22.00," 16,280.00 "," 2,767.60 "," 19,047.60 "," 2,857.14 "," 4,761.90 "," 6,666.66 "," 3,047.62 "," 2,666.66 "," 2,285.71 "," 22,095.22 "," 23,657.12 "," 22,628.55 "," 21,857.12 "," 21,904.74 "," 23,809.50 "," 23,811.40 "," 25,714.26 "
16 CH,2HDD,JVS-ND6016-D2,"16ch NVR 2SATA
IP Camera Input: 16CH 720P/960P/1080P/3MP/4MP/5MP",31.00," 22,940.00 "," 3,899.80 "," 26,839.80 "," 4,025.97 "," 6,709.95 "," 9,393.93 "," 4,294.37 "," 3,757.57 "," 3,220.78 "," 31,134.17 "," 33,335.03 "," 31,885.68 "," 30,798.67 "," 30,865.77 "," 33,549.75 "," 33,552.43 "," 36,233.73 "
6 CH,1HDD,JVS-ND6606-HD,"IP Camera Input: 6CH/10CH/16CH 720P/960P/1080P/3MP/4MP/5MP
Recording Resolution: 5MP/4MP/3MP/1080P/960P/720P,
Preview Resolution: Multi-channels@Sub-stream/Single channel@Main Stream                               
Playback Resolution: 1ch 5.0MP, 1ch 4.0MP, 1ch 3.0MP,2ch 1080P
HDMI Ouput：2560X1440,1920×1080,1440×900,1280×1024,1280×720,1024×768
VGA Output: 
1920×1080,1440×900,1280×1024,1280×720,1024×768
Network Interface: 1RJ-45 10/100Mbps Self-adaptive Ethernet Interface
1 SATA Hard Disk Interface (Up to 10TB each)

",24.00," 17,760.00 "," 3,019.20 "," 20,779.20 "," 3,116.88 "," 5,194.80 "," 7,272.72 "," 3,324.67 "," 2,909.09 "," 2,493.50 "," 24,103.87 "," 25,807.77 "," 24,685.69 "," 23,844.13 "," 23,896.08 "," 25,974.00 "," 25,976.08 "," 28,051.92 "
10 CH,1HDD,JVS-ND6610-HD,,25.00," 18,500.00 "," 3,145.00 "," 21,645.00 "," 3,246.75 "," 5,411.25 "," 7,575.75 "," 3,463.20 "," 3,030.30 "," 2,597.40 "," 25,108.20 "," 26,883.09 "," 25,714.26 "," 24,837.64 "," 24,891.75 "," 27,056.25 "," 27,058.41 "," 29,220.75 "
16 CH,1HDD,JVS-ND6616-HD,,32.00," 23,680.00 "," 4,025.60 "," 27,705.60 "," 4,155.84 "," 6,926.40 "," 9,696.96 "," 4,432.90 "," 3,878.78 "," 3,324.67 "," 32,138.50 "," 34,410.36 "," 32,914.25 "," 31,792.18 "," 31,861.44 "," 34,632.00 "," 34,634.77 "," 37,402.56 "
4CH POE,1HDD,JVS-ND7004-PD01,"IP Camera Input:4CH  PoE Input+4CH Non-PoE Input
720P/960P/1080P/3MP/4MP/5MP                       
Playback Resolution: 5CH 5MP/6CH 4MP/8CH 3MP/12CH 1080P/16CH 960P/16CH 720P
1 SATA Hard Disk Interface (Up to 10TB each)
2 pcs USB 2.0 
Video Compression: H.264/H.265
Standard Color: Black",36.00," 26,640.00 "," 4,528.80 "," 31,168.80 "," 4,675.32 "," 7,792.20 "," 10,909.08 "," 4,987.01 "," 4,363.63 "," 3,740.26 "," 36,155.81 "," 38,711.65 "," 37,028.53 "," 35,766.20 "," 35,844.12 "," 38,961.00 "," 38,964.12 "," 42,077.88 "
8CH POE,1HDD,JVS-ND7008-PD01,"IP Camera Input:8CH  PoE Input+8CH Non-PoE Input
720P/960P/1080P/3MP/4MP/5MP                       
Playback Resolution: 5CH 5MP/6CH 4MP/8CH 3MP/12CH 1080P/16CH 960P/16CH 720P
1 SATA Hard Disk Interface (Up to 10TB each)
2 pcs USB 2.0 
Video Compression: H.264/H.265
Standard Color: Black
",51.00," 37,740.00 "," 6,415.80 "," 44,155.80 "," 6,623.37 "," 11,038.95 "," 15,454.53 "," 7,064.93 "," 6,181.81 "," 5,298.70 "," 51,220.73 "," 54,841.50 "," 52,457.09 "," 50,668.78 "," 50,779.17 "," 55,194.75 "," 55,199.17 "," 59,610.33 "
8ch PoE,2HDD,JVS-ND7008-PD01,"IP Camera Input:8CH  PoE Input
720P/960P/1080P/3MP/4MP/5MP                       
Playback Resolution: 5CH 5MP/6CH 4MP/8CH 3MP/12CH 1080P/16CH 960P/16CH 720P
2xSATA Hard Disk Interface (Up to 6TB each)
2 pcs USB 2.0 
Video Compression: H.264/H.265
Standard Color: Black
Dimension: 360×264×45 mm",85.00," 62,900.00 "," 10,693.00 "," 73,593.00 "," 11,038.95 "," 18,398.25 "," 25,757.55 "," 11,774.88 "," 10,303.02 "," 8,831.16 "," 85,367.88 "," 91,402.51 "," 87,428.48 "," 84,447.97 "," 84,631.95 "," 91,991.25 "," 91,998.61 "," 99,350.55 "
32CH,2HDD,JVS-ND7932-HV,"IP Camera Input:32CH  720P/960P/1080P/3MP/4MP/5MP                       
Playback Resolution: 2CH 5MP/3CH 4MP/4CH 3MP/4CH 1080P
2 SATA Hard Disk Interface (Up to 8TB each)
2 pcs USB 2.0 
Standard Color: Black
Dimension: 360X45X264mm",58.00," 42,920.00 "," 7,296.40 "," 50,216.40 "," 7,532.46 "," 12,554.10 "," 17,575.74 "," 8,034.62 "," 7,030.30 "," 6,025.97 "," 58,251.02 "," 62,368.77 "," 59,657.08 "," 57,623.32 "," 57,748.86 "," 62,770.50 "," 62,775.52 "," 67,792.14 "
32CH,4HDD,JVS-ND7932-DV,"IP Camera Input:32CH  720P/960P/1080P/3MP/4MP/5MP                       
Playback Resolution: 5CH 5MP/6CH 4MP/8CH 3MP/12CH 1080P/16CH 960P/16CH 720P
4 SATA Hard Disk Interface (Up to 10TB each)
2 pcs USB 2.0 and 1pcs USB 3.0
Standard Color: Black
Dimension: 445×45.7×323.5mm",95.00," 70,300.00 "," 11,951.00 "," 82,251.00 "," 12,337.65 "," 20,562.75 "," 28,787.85 "," 13,160.16 "," 11,515.14 "," 9,870.12 "," 95,411.16 "," 102,155.74 "," 97,714.19 "," 94,383.02 "," 94,588.65 "," 102,813.75 "," 102,821.98 "," 111,038.85 "
64CH,8HDD,JVS-ND9164-HZ,"IP Camera Input:64CH   8MP/5MP/3MP/2MP/960P/720P
Alarm in/out:6ch in and 1ch out
Compression Method: H.264/H.265                           
Playback Resolution:4CH 8MP/9CH 5MP/11CH 4MP/13CH 3MP/16CH 2MP
Network Interface: 1RJ-45 10/100/1000Mbps Self-adaptive Ethernet Interface
8 SATA Hard Disk Interface (Up to 10TB each)
Dimension: 445×88×430mm(2U CHasis)
",190.00," 140,600.00 "," 23,902.00 "," 164,502.00 "," 24,675.30 "," 41,125.50 "," 57,575.70 "," 26,320.32 "," 23,030.28 "," 19,740.24 "," 190,822.32 "," 204,311.48 "," 195,428.38 "," 188,766.05 "," 189,177.30 "," 205,627.50 "," 205,643.95 "," 222,077.70 "
128CH,16HDD,JVS-ND92128-HV,"2xHDMI, 2xVGA, 2xRJ45
16xSATA, up to 10TB each
Support 4K Output
Support 128CH 5.0Megapixel IP Cameras
Support Audio Input and Output
Support Alarm Input and Output. 16 In & 4 Out
Support dual network port, Network fault tolerance and Load balancing
Support RS485,Support ONVIF
Support Intelligent Analysis,Support APP
",830.00," 614,200.00 "," 104,414.00 "," 718,614.00 "," 107,792.10 "," 179,653.50 "," 251,514.90 "," 114,978.24 "," 100,605.96 "," 86,233.68 "," 833,592.24 "," 892,518.59 "," 853,713.43 "," 824,609.57 "," 826,406.10 "," 898,267.50 "," 898,339.36 "," 970,128.90 "
4ch Decorder,4ch,JVS-D6016-4HD,"4x HDMI Output (Decode 4 screens video wall, Multiple screens can be spliced).
8CH of 5.0MP, 12CH of 4.0MP, 16CH 1080P Decoding Capability.
Each output supports 1/4/8/9/16 split screen.
Support multi-screen TV-wall, Screen merging and Sequencing",310.00," 229,400.00 "," 38,998.00 "," 268,398.00 "," 40,259.70 "," 67,099.50 "," 93,939.30 "," 42,943.68 "," 37,575.72 "," 32,207.76 "," 311,341.68 "," 333,350.32 "," 318,856.82 "," 307,986.71 "," 308,657.70 "," 335,497.50 "," 335,524.34 "," 362,337.30 "
9ch Decorder,9ch,JVS-D6016-9HD,"9x HDMI Output (Decode 9 screens video wall, Multiple screens can be spliced).
18CH of 5.0MP, 36CH of 4.0MP,64CH 1080P Decoding Capability.
Each output supports 1/4/8/9/16 split screen.
Support multi-screen TV-wall, Screen merging and Sequencing",730.00," 540,200.00 "," 91,834.00 "," 632,034.00 "," 94,805.10 "," 158,008.50 "," 221,211.90 "," 101,125.44 "," 88,484.76 "," 75,844.08 "," 733,159.44 "," 784,986.23 "," 750,856.39 "," 725,259.02 "," 726,839.10 "," 790,042.50 "," 790,105.70 "," 853,245.90 "
Video Management Server ,1000ch,JVS-S3801-1U,"Pre-Installed Video Cloud Platform 
CentOS 7.3 or above,Intel® Xeon® E3-1230 v3, 4Core, 8Thread  
Can manage 1000 Channels and 300Mbps media forwarding at the same time.",2100.00," 1,554,000.00 "," 264,180.00 "," 1,818,180.00 "," 272,727.00 "," 454,545.00 "," 636,363.00 "," 290,908.80 "," 254,545.20 "," 218,181.60 "," 2,109,088.80 "," 2,258,179.56 "," 2,159,997.84 "," 2,086,361.55 "," 2,090,907.00 "," 2,272,725.00 "," 2,272,906.82 "," 2,454,543.00 "
"2MP Dome HD Camera
IR LED: 10µ x15PCS
IR range:25M
Board Len 4mm/F2.0
Case:Plastic for indoor use
Ingress Protection:IP54",1080P,JVS-A835-YWC,"•1/ 3"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",7.30," 5,402.00 ", 918.34 ," 6,320.34 ", 948.05 ," 1,580.09 "," 2,212.12 "," 1,011.25 ", 884.85 , 758.44 ," 7,331.59 "," 7,849.86 "," 7,508.56 "," 7,252.59 "," 7,268.39 "," 7,900.43 "," 7,901.06 "," 8,532.46 "
"2MP Bullet  HD Camera
IR LED: 10µ x15PCS
IR range:25M
Board Len 4mm/F2.0
Case:Plastic
Ingress Protection:IP66",1080P,JVS-A815-YWC,"1/ 3"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",7.50," 5,550.00 ", 943.50 ," 6,493.50 ", 974.03 ," 1,623.38 "," 2,272.73 "," 1,038.96 ", 909.09 , 779.22 ," 7,532.46 "," 8,064.93 "," 7,714.28 "," 7,451.29 "," 7,467.53 "," 8,116.88 "," 8,117.52 "," 8,766.23 "
"2MP Metal Dome  HD Camera
IR LED: 10µ x15PCS
IR range:20M
Board Len 4mm/F2.0
Case:Metal
Ingress Protection:IP66",1080P,JVS-A835-YWS,"•1/ 3"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",9.50," 7,030.00 "," 1,195.10 "," 8,225.10 "," 1,233.77 "," 2,056.28 "," 2,878.79 "," 1,316.02 "," 1,151.51 ", 987.01 ," 9,541.12 "," 10,215.57 "," 9,771.42 "," 9,438.30 "," 9,458.87 "," 10,281.38 "," 10,282.20 "," 11,103.89 "
2MP Bullet 4in1 HD Camera Full color without Audio,,JVS-A816-LYC,,9.80," 7,252.00 "," 1,232.84 "," 8,484.84 "," 1,272.73 "," 2,121.21 "," 2,969.69 "," 1,357.57 "," 1,187.88 "," 1,018.18 "," 9,842.41 "," 10,538.17 "," 10,079.99 "," 9,736.35 "," 9,757.57 "," 10,606.05 "," 10,606.90 "," 11,454.53 "
"2MP Metal Bullet  HD Camera
IR LED: 10µ x15PCS
IR range: 20M
Board Len 4mm/F1.6
Case:Metal
Ingress Protection:IP66",1080P,JVS-A815-YWS,"1/ 3"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",10.00," 7,400.00 "," 1,258.00 "," 8,658.00 "," 1,298.70 "," 2,164.50 "," 3,030.30 "," 1,385.28 "," 1,212.12 "," 1,038.96 "," 10,043.28 "," 10,753.24 "," 10,285.70 "," 9,935.06 "," 9,956.70 "," 10,822.50 "," 10,823.37 "," 11,688.30 "
"2MP Dome Starlight HD Camera
IR LED: 10µ x15PCS
IR range:25M
Board Len 4mm/F2.0
Case:Plastic for indoor use
Ingress Protection:IP54",1080P,JVS-A833-YWC,"•1/ 2.9"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
 Starlight",9.00," 6,660.00 "," 1,132.20 "," 7,792.20 "," 1,168.83 "," 1,948.05 "," 2,727.27 "," 1,246.75 "," 1,090.91 ", 935.06 ," 9,038.95 "," 9,677.91 "," 9,257.13 "," 8,941.55 "," 8,961.03 "," 9,740.25 "," 9,741.03 "," 10,519.47 "
"2MP Bullet Starlight HD Camera
IR LED: 10µ x15PCS
IR range:25M
Board Len 4mm/F2.0
Case:Plastic
Ingress Protection:IP66",1080P,JVS-A813-YWC,"1/ 2.9"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
 Starlight",9.50," 7,030.00 "," 1,195.10 "," 8,225.10 "," 1,233.77 "," 2,056.28 "," 2,878.79 "," 1,316.02 "," 1,151.51 ", 987.01 ," 9,541.12 "," 10,215.57 "," 9,771.42 "," 9,438.30 "," 9,458.87 "," 10,281.38 "," 10,282.20 "," 11,103.89 "
"2MP Metal Dome Starlight HD Camera
IR LED: 10µ x15PCS
IR range:20M
Board Len 4mm/F2.0
Case:Metal
Ingress Protection:IP66",1080P,JVS-A833-YWS,"•1/ 2.9"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
 Starlight",10.50," 7,770.00 "," 1,320.90 "," 9,090.90 "," 1,363.64 "," 2,272.73 "," 3,181.82 "," 1,454.54 "," 1,272.73 "," 1,090.91 "," 10,545.44 "," 11,290.90 "," 10,799.99 "," 10,431.81 "," 10,454.54 "," 11,363.63 "," 11,364.53 "," 12,272.72 "
"2MP Metal Bullet Starlight HD Camera
IR LED: 10µ x15PCS
IR range: 20M
Board Len 4mm/F1.6
Case:Metal
Ingress Protection:IP66",1080P,JVS-A813-YWS,"1/ 2.9"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
 Starlight",11.00," 8,140.00 "," 1,383.80 "," 9,523.80 "," 1,428.57 "," 2,380.95 "," 3,333.33 "," 1,523.81 "," 1,333.33 "," 1,142.86 "," 11,047.61 "," 11,828.56 "," 11,314.27 "," 10,928.56 "," 10,952.37 "," 11,904.75 "," 11,905.70 "," 12,857.13 "
"2MP Dome Full Color Camera
LED: 28µ x2PCS
IR range: 20M
Board Len 4mm/F2.0
Case: Plastic for indoor use
Ingress Protection:IP54
",1080P,JVS-A836-HYC,"1/ 2.9"" CMOS Sensor
•Full HD  resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
Full Color  UTC Coaxial Control Built-in Mic",10.00," 7,400.00 "," 1,258.00 "," 8,658.00 "," 1,298.70 "," 2,164.50 "," 3,030.30 "," 1,385.28 "," 1,212.12 "," 1,038.96 "," 10,043.28 "," 10,753.24 "," 10,285.70 "," 9,935.06 "," 9,956.70 "," 10,822.50 "," 10,823.37 "," 11,688.30 "
"2MP Bullet Full Color Camera
LED: 28µ x4PCS
IR range:30M
Board Len 4mm/F2.0
Case: Plastic for outdoor use
Ingress Protection:IP66",1080P,JVS-A816-HYC,"1/ 2.9"" CMOS Sensor
•Full HD  resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
Full Color  UTC Coaxial Control Built-in Mic",10.50," 7,770.00 "," 1,320.90 "," 9,090.90 "," 1,363.64 "," 2,272.73 "," 3,181.82 "," 1,454.54 "," 1,272.73 "," 1,090.91 "," 10,545.44 "," 11,290.90 "," 10,799.99 "," 10,431.81 "," 10,454.54 "," 11,363.63 "," 11,364.53 "," 12,272.72 "
"4MP Bullet HD Camera
IR LED: 14µ x18PCS
IR range: 20M
Board Len 4mm/F1.6
Case:Plastic
Ingress Protection:IP66",4.0MP,JVS-A410-YWC,"1/ 3"" CMOS Sensor
•Full HD resolution 2560 x  1440
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",12.50," 9,250.00 "," 1,572.50 "," 10,822.50 "," 1,623.38 "," 2,705.63 "," 3,787.88 "," 1,731.60 "," 1,515.15 "," 1,298.70 "," 12,554.10 "," 13,441.55 "," 12,857.13 "," 12,418.82 "," 12,445.88 "," 13,528.13 "," 13,529.21 "," 14,610.38 "
"4MP Dome HD Camera
IR LED: 14µ x18PCS
IR range: 20M
Board Len 4mm/F1.6
Case: Plastic for indoor use
Ingress Protection:IP66",4.0MP,JVS-A430-YWC,"1/ 3"" CMOS Sensor
•Full HD resolution 2560 x  1440
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",11.50," 8,510.00 "," 1,446.70 "," 9,956.70 "," 1,493.51 "," 2,489.18 "," 3,484.85 "," 1,593.07 "," 1,393.94 "," 1,194.80 "," 11,549.77 "," 12,366.22 "," 11,828.56 "," 11,425.31 "," 11,450.21 "," 12,445.88 "," 12,446.87 "," 13,441.55 "
"5MP Bullet HD Camera
IR LED: 14µ x18PCS
IR range: 30M
Board Len 4mm/F2.0
Case:Plastic
Ingress Protection:IP66",5.0MP,JVS-A510-YWC,"1/ 2.8"" CMOS Sensor
•Full HD resolution  2560 x 1944
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",13.00," 9,620.00 "," 1,635.40 "," 11,255.40 "," 1,688.31 "," 2,813.85 "," 3,939.39 "," 1,800.86 "," 1,575.76 "," 1,350.65 "," 13,056.26 "," 13,979.21 "," 13,371.42 "," 12,915.57 "," 12,943.71 "," 14,069.25 "," 14,070.38 "," 15,194.79 "
"5MP  Dome HD Camera
IR LED: 14µ x18PCS
IR range: 30M
Board Len 4mm/F2.0
Case:Plastic
Ingress Protection:IP66",5.0MP,JVS-A530-YWC,"1/ 2.8"" CMOS Sensor
•Full HD resolution 2560 x 1944
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",15.00," 11,100.00 "," 1,887.00 "," 12,987.00 "," 1,948.05 "," 3,246.75 "," 4,545.45 "," 2,077.92 "," 1,818.18 "," 1,558.44 "," 15,064.92 "," 16,129.85 "," 15,428.56 "," 14,902.58 "," 14,935.05 "," 16,233.75 "," 16,235.05 "," 17,532.45 "
"5MP Bullet HD Camera
IR LED: 14µ x18PCS
IR range: 30M
Board Len 4mm/F2.0
Case:Metal
Ingress Protection:IP66",5.0MP,JVS-A510-YWS,"1/ 2.8"" CMOS Sensor
•Full HD resolution  2560 x 1944
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",15.50," 11,470.00 "," 1,949.90 "," 13,419.90 "," 2,012.99 "," 3,354.98 "," 4,696.97 "," 2,147.18 "," 1,878.79 "," 1,610.39 "," 15,567.08 "," 16,667.52 "," 15,942.84 "," 15,399.34 "," 15,432.89 "," 16,774.88 "," 16,776.22 "," 18,116.87 "
"5MP Metal Dome HD Camera
IR LED: 14µ x18PCS
IR range: 30M
Board Len 4mm/F2.0
Case:Metal
Ingress Protection:IP66",5.0MP,JVS-A530-YWS,"1/ 2.8"" CMOS Sensor
•Full HD resolution 2560 x 1944
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",15.00," 11,100.00 "," 1,887.00 "," 12,987.00 "," 1,948.05 "," 3,246.75 "," 4,545.45 "," 2,077.92 "," 1,818.18 "," 1,558.44 "," 15,064.92 "," 16,129.85 "," 15,428.56 "," 14,902.58 "," 14,935.05 "," 16,233.75 "," 16,235.05 "," 17,532.45 "
"5MP Dome Full Color Camera
LED: 28µ x2PCS
IR range: 20M
Board Len 4mm/F2.0
Case: Plastic for indoor use
Ingress Protection:IP54
",5MP,JVS-A536-HYC,"1/ 2.9"" CMOS Sensor
•Full HD  resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
Full Color  UTC Coaxial Control Built-in Mic",13.50," 9,990.00 "," 1,698.30 "," 11,688.30 "," 1,753.25 "," 2,922.08 "," 4,090.91 "," 1,870.13 "," 1,636.36 "," 1,402.60 "," 13,558.43 "," 14,516.87 "," 13,885.70 "," 13,412.32 "," 13,441.55 "," 14,610.38 "," 14,611.54 "," 15,779.21 "
"5MP Bullet Full Color Camera
LED: 28µ x4PCS
IR range:30M
Board Len 4mm/F2.0
Case: Plastic for outdoor use
Ingress Protection:IP66",5MP,JVS-A516-HYC,"1/ 2.9"" CMOS Sensor
•Full HD  resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
Full Color  UTC Coaxial Control Built-in Mic",14.00," 10,360.00 "," 1,761.20 "," 12,121.20 "," 1,818.18 "," 3,030.30 "," 4,242.42 "," 1,939.39 "," 1,696.97 "," 1,454.54 "," 14,060.59 "," 15,054.53 "," 14,399.99 "," 13,909.08 "," 13,939.38 "," 15,151.50 "," 15,152.71 "," 16,363.62 "
"2MP Metal Dome Varifocal Camera
IR range: 30M
Board Len: 2.8mm-12mm
Case:Metal
Ingress Protection:IP66",2MP,A4322-VF,"4-in-1 Varifocal 2.8-12mm HD Dome  Camera,English quick start guide,Sony Sensor",17.00," 12,580.00 "," 2,138.60 "," 14,718.60 "," 2,207.79 "," 3,679.65 "," 5,151.51 "," 2,354.98 "," 2,060.60 "," 1,766.23 "," 17,073.58 "," 18,280.50 "," 17,485.70 "," 16,889.59 "," 16,926.39 "," 18,398.25 "," 18,399.72 "," 19,870.11 "
"2MP Metal Dome Varifocal Camera
IR range: 30M
Board Len: 2.8mm-12mm
Case:Metal
Ingress Protection:IP66",2MP,A4322SL-VF,"4-in-1 Varifocal Starlight 
2.8-12mm HD Dome  Camera,Sony Sensor",19.00," 14,060.00 "," 2,390.20 "," 16,450.20 "," 2,467.53 "," 4,112.55 "," 5,757.57 "," 2,632.03 "," 2,303.03 "," 1,974.02 "," 19,082.23 "," 20,431.15 "," 19,542.84 "," 18,876.60 "," 18,917.73 "," 20,562.75 "," 20,564.40 "," 22,207.77 "
"2MP Dome HD Camera
IR LED: 10µ x15PCS
IR range:25M
Board Len 4mm/F2.0
Case:Plastic for indoor use
Ingress Protection:IP54",1080P,JVS-A835-YWC,"•1/ 3"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",7.30," 5,402.00 ", 918.34 ," 6,320.34 ", 948.05 ," 1,580.09 "," 2,212.12 "," 1,011.25 ", 884.85 , 758.44 ," 7,331.59 "," 7,849.86 "," 7,508.56 "," 7,252.59 "," 7,268.39 "," 7,900.43 "," 7,901.06 "," 8,532.46 "
"2MP Bullet  HD Camera
IR LED: 10µ x15PCS
IR range:25M
Board Len 4mm/F2.0
Case:Plastic
Ingress Protection:IP66",1080P,JVS-A815-YWC,"1/ 3"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",7.50," 5,550.00 ", 943.50 ," 6,493.50 ", 974.03 ," 1,623.38 "," 2,272.73 "," 1,038.96 ", 909.09 , 779.22 ," 7,532.46 "," 8,064.93 "," 7,714.28 "," 7,451.29 "," 7,467.53 "," 8,116.88 "," 8,117.52 "," 8,766.23 "
"2MP Metal Dome  HD Camera
IR LED: 10µ x15PCS
IR range:20M
Board Len 4mm/F2.0
Case:Metal
Ingress Protection:IP66",1080P,JVS-A835-YWS,"•1/ 3"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",9.50," 7,030.00 "," 1,195.10 "," 8,225.10 "," 1,233.77 "," 2,056.28 "," 2,878.79 "," 1,316.02 "," 1,151.51 ", 987.01 ," 9,541.12 "," 10,215.57 "," 9,771.42 "," 9,438.30 "," 9,458.87 "," 10,281.38 "," 10,282.20 "," 11,103.89 "
2MP Bullet 4in1 HD Camera Full color without Audio,,JVS-A816-LYC,,9.80," 7,252.00 "," 1,232.84 "," 8,484.84 "," 1,272.73 "," 2,121.21 "," 2,969.69 "," 1,357.57 "," 1,187.88 "," 1,018.18 "," 9,842.41 "," 10,538.17 "," 10,079.99 "," 9,736.35 "," 9,757.57 "," 10,606.05 "," 10,606.90 "," 11,454.53 "
"2MP Metal Bullet  HD Camera
IR LED: 10µ x15PCS
IR range: 20M
Board Len 4mm/F1.6
Case:Metal
Ingress Protection:IP66",1080P,JVS-A815-YWS,"1/ 3"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",10.00," 7,400.00 "," 1,258.00 "," 8,658.00 "," 1,298.70 "," 2,164.50 "," 3,030.30 "," 1,385.28 "," 1,212.12 "," 1,038.96 "," 10,043.28 "," 10,753.24 "," 10,285.70 "," 9,935.06 "," 9,956.70 "," 10,822.50 "," 10,823.37 "," 11,688.30 "
"2MP Dome Starlight HD Camera
IR LED: 10µ x15PCS
IR range:25M
Board Len 4mm/F2.0
Case:Plastic for indoor use
Ingress Protection:IP54",1080P,JVS-A833-YWC,"•1/ 2.9"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
 Starlight",9.00," 6,660.00 "," 1,132.20 "," 7,792.20 "," 1,168.83 "," 1,948.05 "," 2,727.27 "," 1,246.75 "," 1,090.91 ", 935.06 ," 9,038.95 "," 9,677.91 "," 9,257.13 "," 8,941.55 "," 8,961.03 "," 9,740.25 "," 9,741.03 "," 10,519.47 "
